estimate,sub,block
-14.58187003,103,1
-0.9679638838,105,1
79.23793338,106,1
76.83118869,107,1
138.0215163,110,1
52.13049251,111,1
8.524067628,112,1
11.99928005,113,1
124.4554686,114,1
29.87442122,115,1
-38.69488756,116,1
81.50430677,118,1
1.862349101,120,1
122.7944174,121,1
32.19391814,122,1
0.4760092685,123,1
70.69025549,124,1
4.766600502,125,1
27.92752569,126,1
103.8076269,127,1
-42.86013141,128,1
39.76787442,131,1
59.26157306,132,1
22.21117491,134,1
22.89210171,135,1
27.93550355,136,1
102.6411342,141,1
89.71784828,142,1
53.14629311,143,1
36.48421181,144,1
-154.094073,146,1
25.97531318,147,1
-59.18391569,149,1
55.99314434,151,1
23.0619689,152,1
93.52736604,153,1
-9.043011389,154,1
-56.19110306,156,1
51.49078455,157,1
6.935401833,158,1
44.73575943,161,1
148.5856362,162,1
131.6720766,163,1
-43.67026485,164,1
6.242029945,165,1
23.55997579,166,1
36.62078673,167,1
106.799094,171,1
42.53187172,172,1
19.22228988,173,1
31.14444946,174,1
64.71662446,175,1
-17.04354239,176,1
108.8452849,178,1
-24.06327066,181,1
21.21857179,182,1
-29.24416114,183,1
44.69657516,184,1
-12.45669888,185,1
2.84106365,186,1
37.48277328,187,1
14.96985138,188,1
-12.89210791,190,1
113.3594858,191,1
14.46393819,192,1
61.93210067,193,1
16.04752844,194,1
62.99881476,195,1
43.87438409,196,1
-13.53917053,197,1
-25.12974785,201,1
-4.683206759,202,1
50.47767667,203,1
35.61034026,204,1
22.33999292,205,1
-69.2551791,207,1
141.2754792,212,1
80.16596664,214,1
-79.80520793,216,1
23.59353833,219,1
6.910309672,220,1
17.4715813,221,1
46.90473443,223,1
-25.52365847,224,1
66.41520385,225,1
-61.4274166,226,1
31.78038148,227,1
22.58763928,228,1
13.55389608,229,1
97.48205566,103,2
56.58970933,105,2
-33.65297093,106,2
6.701259337,107,2
86.01222485,110,2
23.90661074,111,2
20.96558422,112,2
24.09079165,113,2
28.29851482,114,2
54.77636121,115,2
113.2153933,116,2
62.130286,118,2
-26.04675249,120,2
-29.26329631,121,2
47.57096793,122,2
67.23460825,124,2
37.21619145,125,2
96.96814665,126,2
22.58077111,127,2
-9.308515888,128,2
-23.23486147,131,2
-15.62409388,132,2
-22.23597948,134,2
-5.584175913,135,2
68.07115705,136,2
225.9468084,141,2
6.019703909,142,2
18.2630875,143,2
94.58948828,146,2
-79.81663061,147,2
-22.69515387,149,2
79.88205609,151,2
111.1711402,152,2
-65.25401816,154,2
-6.542958736,156,2
50.02180988,157,2
-5.265121604,158,2
40.43917084,161,2
160.3555378,162,2
7.005308383,163,2
-53.45214806,164,2
-7.242354944,165,2
113.3042541,166,2
48.55954461,171,2
41.886398990000004,172,2
25.42099455,173,2
56.37135267,174,2
81.86722364,175,2
-29.45776877,176,2
160.4708334,178,2
70.1026127,182,2
89.06178449,183,2
-37.24340554,184,2
-3.699972131,185,2
-0.7323288667,187,2
-2.5102587,188,2
-44.14212662,190,2
-45.56169392,191,2
37.07932148,192,2
17.74029604,193,2
38.10987914,194,2
-26.18721172,195,2
25.8849592,196,2
-15.83556631,197,2
71.95126303,201,2
20.4195705,202,2
-20.05466317,203,2
44.52164257,204,2
-180.7497286,205,2
-22.87260797,207,2
14.55972448,212,2
36.07248526,214,2
115.0857408,215,1
35.35264101,216,2
-36.10777205,220,2
16.52798648,221,2
61.22727453,223,2
32.23725335,224,2
47.66172921,225,2
62.40853086,226,2
4.8994239,227,2
14.70683242,229,2
